dataset,gsm,donor_id,compartment,disease_state,module_id,gene_symbol,feature_rows_mapped,pseudobulk_count,total_umi_included_cells
GSE244889,GSM7831813,Pa-17F,NP,MDD,ecm_collagen_remodeling,ADAMTS4,1,14,67860426
GSE244889,GSM7831813,Pa-17F,NP,MDD,ecm_collagen_remodeling,ADAMTS5,1,633,67860426
GSE244889,GSM7831813,Pa-17F,NP,MDD,ecm_collagen_remodeling,COL1A1,1,199,67860426
GSE244889,GSM7831813,Pa-17F,NP,MDD,ecm_collagen_remodeling,COL1A2,1,32651,67860426
GSE244889,GSM7831813,Pa-17F,NP,MDD,ecm_collagen_remodeling,COL3A1,1,61934,67860426
GSE244889,GSM7831813,Pa-17F,NP,MDD,ecm_collagen_remodeling,COL5A1,1,5136,67860426
GSE244889,GSM7831813,Pa-17F,NP,MDD,ecm_collagen_remodeling,COL5A2,1,19305,67860426
GSE244889,GSM7831813,Pa-17F,NP,MDD,ecm_collagen_remodeling,COL6A1,1,18190,67860426
GSE244889,GSM7831813,Pa-17F,NP,MDD,ecm_collagen_remodeling,COL6A2,1,20594,67860426
GSE244889,GSM7831813,Pa-17F,NP,MDD,ecm_collagen_remodeling,COL6A3,1,6068,67860426
GSE244889,GSM7831813,Pa-17F,NP,MDD,ecm_collagen_remodeling,DCN,1,635386,67860426
GSE244889,GSM7831813,Pa-17F,NP,MDD,ecm_collagen_remodeling,FN1,1,502013,67860426
GSE244889,GSM7831813,Pa-17F,NP,MDD,ecm_collagen_remodeling,LOX,1,2980,67860426
GSE244889,GSM7831813,Pa-17F,NP,MDD,ecm_collagen_remodeling,LOXL2,1,2842,67860426
GSE244889,GSM7831813,Pa-17F,NP,MDD,ecm_collagen_remodeling,LUM,1,325310,67860426
GSE244889,GSM7831813,Pa-17F,NP,MDD,ecm_collagen_remodeling,MMP2,1,66,67860426
GSE244889,GSM7831813,Pa-17F,NP,MDD,ecm_collagen_remodeling,MMP3,1,2369,67860426
GSE244889,GSM7831813,Pa-17F,NP,MDD,ecm_collagen_remodeling,MMP9,1,0,67860426
GSE244889,GSM7831813,Pa-17F,NP,MDD,ecm_collagen_remodeling,MMP13,1,4,67860426
GSE244889,GSM7831813,Pa-17F,NP,MDD,ecm_collagen_remodeling,POSTN,1,324,67860426
GSE244889,GSM7831813,Pa-17F,NP,MDD,ecm_collagen_remodeling,SPARC,1,235191,67860426
GSE244889,GSM7831813,Pa-17F,NP,MDD,ecm_collagen_remodeling,TIMP1,1,81560,67860426
GSE244889,GSM7831813,Pa-17F,NP,MDD,ecm_collagen_remodeling,TIMP2,1,42637,67860426
GSE244889,GSM7831813,Pa-17F,NP,MDD,ecm_collagen_remodeling,TNC,1,663,67860426
GSE244889,GSM7831813,Pa-17F,NP,MDD,inflammatory_nfkb,CCL2,1,495,67860426
GSE244889,GSM7831813,Pa-17F,NP,MDD,inflammatory_nfkb,CCL5,1,17,67860426
GSE244889,GSM7831813,Pa-17F,NP,MDD,inflammatory_nfkb,CXCL8,1,214,67860426
GSE244889,GSM7831813,Pa-17F,NP,MDD,inflammatory_nfkb,FOS,1,348512,67860426
GSE244889,GSM7831813,Pa-17F,NP,MDD,inflammatory_nfkb,IKBKB,1,298,67860426
