dataset,gsm,donor_id,compartment,module_id,configured_genes,mapped_genes,mapped_fraction,mapping_pass,mapped_gene_symbols,duplicate_feature_rows
GSE230808,GSM7235331,SP20.002,AF,ecm_collagen_remodeling,24,24,1.000000,True,ADAMTS4;ADAMTS5;COL1A1;COL1A2;COL3A1;COL5A1;COL5A2;COL6A1;COL6A2;COL6A3;DCN;FN1;LOX;LOXL2;LUM;MMP13;MMP2;MMP3;MMP9;POSTN;SPARC;TIMP1;TIMP2;TNC,0
GSE230808,GSM7235331,SP20.002,AF,inflammatory_nfkb,21,21,1.000000,True,CCL2;CCL5;CXCL8;FOS;IKBKB;IKBKG;IL1B;IL6;JUN;NFKB1;NFKB2;NFKBIA;NLRP3;RELA;RELB;STAT3;TICAM1;TLR2;TLR4;TNF;TNFRSF1A,0
GSE230808,GSM7235331,SP20.002,AF,hypoxia_oxidative_stress,18,17,0.944444,True,BNIP3;CA9;EGLN1;EPAS1;GCLM;HIF1A;HMOX1;LDHA;NFE2L2;NQO1;PDK1;PRDX1;SLC2A1;SOD1;SOD2;TXN;VEGFA,0
GSE230808,GSM7235331,SP20.002,AF,disc_matrix_homeostasis,15,15,1.000000,True,ACAN;B3GAT1;BGN;CILP;COL2A1;COL9A1;COL9A2;COL9A3;COMP;FMOD;HAPLN1;HAS2;KRT19;MATN3;SOX9,0
GSE230808,GSM7235332,SP20.006,AF,ecm_collagen_remodeling,24,24,1.000000,True,ADAMTS4;ADAMTS5;COL1A1;COL1A2;COL3A1;COL5A1;COL5A2;COL6A1;COL6A2;COL6A3;DCN;FN1;LOX;LOXL2;LUM;MMP13;MMP2;MMP3;MMP9;POSTN;SPARC;TIMP1;TIMP2;TNC,24
GSE230808,GSM7235332,SP20.006,AF,inflammatory_nfkb,21,21,1.000000,True,CCL2;CCL5;CXCL8;FOS;IKBKB;IKBKG;IL1B;IL6;JUN;NFKB1;NFKB2;NFKBIA;NLRP3;RELA;RELB;STAT3;TICAM1;TLR2;TLR4;TNF;TNFRSF1A,21
GSE230808,GSM7235332,SP20.006,AF,hypoxia_oxidative_stress,18,17,0.944444,True,BNIP3;CA9;EGLN1;EPAS1;GCLM;HIF1A;HMOX1;LDHA;NFE2L2;NQO1;PDK1;PRDX1;SLC2A1;SOD1;SOD2;TXN;VEGFA,17
GSE230808,GSM7235332,SP20.006,AF,disc_matrix_homeostasis,15,15,1.000000,True,ACAN;B3GAT1;BGN;CILP;COL2A1;COL9A1;COL9A2;COL9A3;COMP;FMOD;HAPLN1;HAS2;KRT19;MATN3;SOX9,15
GSE230808,GSM7235333,SP21.007,AF,ecm_collagen_remodeling,24,24,1.000000,True,ADAMTS4;ADAMTS5;COL1A1;COL1A2;COL3A1;COL5A1;COL5A2;COL6A1;COL6A2;COL6A3;DCN;FN1;LOX;LOXL2;LUM;MMP13;MMP2;MMP3;MMP9;POSTN;SPARC;TIMP1;TIMP2;TNC,48
GSE230808,GSM7235333,SP21.007,AF,inflammatory_nfkb,21,21,1.000000,True,CCL2;CCL5;CXCL8;FOS;IKBKB;IKBKG;IL1B;IL6;JUN;NFKB1;NFKB2;NFKBIA;NLRP3;RELA;RELB;STAT3;TICAM1;TLR2;TLR4;TNF;TNFRSF1A,42
GSE230808,GSM7235333,SP21.007,AF,hypoxia_oxidative_stress,18,17,0.944444,True,BNIP3;CA9;EGLN1;EPAS1;GCLM;HIF1A;HMOX1;LDHA;NFE2L2;NQO1;PDK1;PRDX1;SLC2A1;SOD1;SOD2;TXN;VEGFA,34
GSE230808,GSM7235333,SP21.007,AF,disc_matrix_homeostasis,15,15,1.000000,True,ACAN;B3GAT1;BGN;CILP;COL2A1;COL9A1;COL9A2;COL9A3;COMP;FMOD;HAPLN1;HAS2;KRT19;MATN3;SOX9,30
GSE230808,GSM7235334,SP21.011,AF,ecm_collagen_remodeling,24,24,1.000000,True,ADAMTS4;ADAMTS5;COL1A1;COL1A2;COL3A1;COL5A1;COL5A2;COL6A1;COL6A2;COL6A3;DCN;FN1;LOX;LOXL2;LUM;MMP13;MMP2;MMP3;MMP9;POSTN;SPARC;TIMP1;TIMP2;TNC,72
GSE230808,GSM7235334,SP21.011,AF,inflammatory_nfkb,21,21,1.000000,True,CCL2;CCL5;CXCL8;FOS;IKBKB;IKBKG;IL1B;IL6;JUN;NFKB1;NFKB2;NFKBIA;NLRP3;RELA;RELB;STAT3;TICAM1;TLR2;TLR4;TNF;TNFRSF1A,63
GSE230808,GSM7235334,SP21.011,AF,hypoxia_oxidative_stress,18,17,0.944444,True,BNIP3;CA9;EGLN1;EPAS1;GCLM;HIF1A;HMOX1;LDHA;NFE2L2;NQO1;PDK1;PRDX1;SLC2A1;SOD1;SOD2;TXN;VEGFA,51
GSE230808,GSM7235334,SP21.011,AF,disc_matrix_homeostasis,15,15,1.000000,True,ACAN;B3GAT1;BGN;CILP;COL2A1;COL9A1;COL9A2;COL9A3;COMP;FMOD;HAPLN1;HAS2;KRT19;MATN3;SOX9,45
GSE230808,GSM7235335,SP21.013,AF,ecm_collagen_remodeling,24,24,1.000000,True,ADAMTS4;ADAMTS5;COL1A1;COL1A2;COL3A1;COL5A1;COL5A2;COL6A1;COL6A2;COL6A3;DCN;FN1;LOX;LOXL2;LUM;MMP13;MMP2;MMP3;MMP9;POSTN;SPARC;TIMP1;TIMP2;TNC,96
GSE230808,GSM7235335,SP21.013,AF,inflammatory_nfkb,21,21,1.000000,True,CCL2;CCL5;CXCL8;FOS;IKBKB;IKBKG;IL1B;IL6;JUN;NFKB1;NFKB2;NFKBIA;NLRP3;RELA;RELB;STAT3;TICAM1;TLR2;TLR4;TNF;TNFRSF1A,84
GSE230808,GSM7235335,SP21.013,AF,hypoxia_oxidative_stress,18,17,0.944444,True,BNIP3;CA9;EGLN1;EPAS1;GCLM;HIF1A;HMOX1;LDHA;NFE2L2;NQO1;PDK1;PRDX1;SLC2A1;SOD1;SOD2;TXN;VEGFA,68
GSE230808,GSM7235335,SP21.013,AF,disc_matrix_homeostasis,15,15,1.000000,True,ACAN;B3GAT1;BGN;CILP;COL2A1;COL9A1;COL9A2;COL9A3;COMP;FMOD;HAPLN1;HAS2;KRT19;MATN3;SOX9,60
GSE230808,GSM7235336,SP21.014,AF,ecm_collagen_remodeling,24,24,1.000000,True,ADAMTS4;ADAMTS5;COL1A1;COL1A2;COL3A1;COL5A1;COL5A2;COL6A1;COL6A2;COL6A3;DCN;FN1;LOX;LOXL2;LUM;MMP13;MMP2;MMP3;MMP9;POSTN;SPARC;TIMP1;TIMP2;TNC,120
GSE230808,GSM7235336,SP21.014,AF,inflammatory_nfkb,21,21,1.000000,True,CCL2;CCL5;CXCL8;FOS;IKBKB;IKBKG;IL1B;IL6;JUN;NFKB1;NFKB2;NFKBIA;NLRP3;RELA;RELB;STAT3;TICAM1;TLR2;TLR4;TNF;TNFRSF1A,105
GSE230808,GSM7235336,SP21.014,AF,hypoxia_oxidative_stress,18,17,0.944444,True,BNIP3;CA9;EGLN1;EPAS1;GCLM;HIF1A;HMOX1;LDHA;NFE2L2;NQO1;PDK1;PRDX1;SLC2A1;SOD1;SOD2;TXN;VEGFA,85
GSE230808,GSM7235336,SP21.014,AF,disc_matrix_homeostasis,15,15,1.000000,True,ACAN;B3GAT1;BGN;CILP;COL2A1;COL9A1;COL9A2;COL9A3;COMP;FMOD;HAPLN1;HAS2;KRT19;MATN3;SOX9,75
